Age,Transmigration Type,2015,2016,2017
Range >=100,Immigrants,10,6,4
Range >=100,Emigrants,17,8,9
Range 95-99,Immigrants,55,46,55
Range 95-99,Emigrants,126,98,131
Range 90-94,Immigrants,228,177,219
Range 90-94,Emigrants,519,454,424
Range 85-89,Immigrants,489,367,393
Range 85-89,Emigrants,865,817,756
Range 80-84,Immigrants,581,489,544
Range 80-84,Emigrants,899,796,761
Range 75-79,Immigrants,609,599,596
Range 75-79,Emigrants,755,695,702
Range 70-74,Immigrants,925,814,939
Range 70-74,Emigrants,921,898,1072
Range 65-69,Immigrants,1385,1271,1424
Range 65-69,Emigrants,1453,1395,1494
Range 60-64,Immigrants,1833,1613,1948
Range 60-64,Emigrants,1581,1525,1648
Range 55-59,Immigrants,2499,2187,2454
Range 55-59,Emigrants,1817,1871,1898
Range 50-54,Immigrants,3481,2998,3516
Range 50-54,Emigrants,2555,2343,2619
Range 45-49,Immigrants,4754,4026,4565
Range 45-49,Emigrants,3393,3284,3314
Range 40-44,Immigrants,6895,6034,6846
Range 40-44,Emigrants,5424,4862,5041
Range 35-39,Immigrants,10290,9237,10265
Range 35-39,Emigrants,7554,6618,6839
Range 30-34,Immigrants,14531,13504,15602
Range 30-34,Emigrants,8412,7585,7757
Range 25-29,Immigrants,17618,17672,21319
Range 25-29,Emigrants,6531,6225,6619
Range 20-24,Immigrants,10263,10906,12911
Range 20-24,Emigrants,3228,3168,3422
Range 15-19,Immigrants,3664,4145,4545
Range 15-19,Emigrants,1608,1587,1710
Range 10-14,Immigrants,2590,2655,2630
Range 10-14,Emigrants,1513,1434,1480
Range 05-09,Immigrants,2723,2651,2684
Range 05-09,Emigrants,2108,1827,1845
Range 00-04,Immigrants,3559,3775,3868
Range 00-04,Emigrants,2830,2784,3111
